/home/zhaos5/anaconda3/lib/python3.6/site-packages/h5py/__init__.py:36: FutureWarning: Conversion of the second argument of issubdtype from `float` to `np.floating` is deprecated. In future, it will be treated as `np.float64 == np.dtype(float).type`.
  from ._conv import register_converters as _register_converters
WARNING:tensorflow:From /home/zhaos5/anaconda3/lib/python3.6/site-packages/tensorflow/contrib/learn/python/learn/datasets/base.py:198: retry (from tensorflow.contrib.learn.python.learn.datasets.base) is deprecated and will be removed in a future version.
Instructions for updating:
Use the retry module or similar alternatives.
WARNING:tensorflow:From /home/zhaos5/projs/wsd/wsd_code/tensor2tensor/layers/common_layers.py:513: calling reduce_mean (from tensorflow.python.ops.math_ops) with keep_dims is deprecated and will be removed in a future version.
Instructions for updating:
keep_dims is deprecated, use keepdims instead
2018-04-07 05:48:18.586328: I tensorflow/core/platform/cpu_feature_guard.cc:140] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
2018-04-07 05:48:30.989419: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:898] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2018-04-07 05:48:30.994236: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1344] Found device 0 with properties: 
name: Tesla K80 major: 3 minor: 7 memoryClockRate(GHz): 0.8235
pciBusID: 0000:00:1a.0
totalMemory: 11.17GiB freeMemory: 11.10GiB
2018-04-07 05:48:30.994265: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1423] Adding visible gpu devices: 0
2018-04-07 05:48:31.431244: I tensorflow/core/common_runtime/gpu/gpu_device.cc:911] Device interconnect StreamExecutor with strength 1 edge matrix:
2018-04-07 05:48:31.431323: I tensorflow/core/common_runtime/gpu/gpu_device.cc:917]      0 
2018-04-07 05:48:31.431338: I tensorflow/core/common_runtime/gpu/gpu_device.cc:930] 0:   N 
2018-04-07 05:48:31.431824: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1041] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 10764 MB memory) -> physical GPU (device: 0, name: Tesla K80, pci bus id: 0000:00:1a.0, compute capability: 3.7)
Subword Vocab Populated with size 49588 for path /home/zhaos5/projs/wsd/wsd_code/model/../../wsd_data/medline/subvoc.txt.
Finished Populate Data with 383360 samples.
Perplexity:	523.099609 at step 1001 using 0:03:32.505640.
Perplexity:	14.071339 at step 2002 using 0:02:56.257261.
Perplexity:	79.140511 at step 3003 using 0:02:57.067718.
Perplexity:	108.189888 at step 4004 using 0:03:08.734076.
Perplexity:	36.481815 at step 5005 using 0:02:55.505884.
Perplexity:	82.820930 at step 6006 using 0:02:56.889942.
Perplexity:	82.030151 at step 7007 using 0:03:01.222713.
Perplexity:	26.050268 at step 8008 using 0:02:56.476089.
Perplexity:	127.327583 at step 9009 using 0:02:55.805009.
Perplexity:	20.203688 at step 10010 using 0:02:56.622871.
Perplexity:	6.961124 at step 11011 using 0:03:00.507275.
Perplexity:	32.146492 at step 12012 using 0:02:57.414336.
Perplexity:	16.666386 at step 13013 using 0:03:05.040973.
Perplexity:	13.770023 at step 14014 using 0:03:00.792456.
Perplexity:	63.391281 at step 15015 using 0:02:57.170408.
Perplexity:	13.197426 at step 16016 using 0:02:55.526396.
Perplexity:	4.762934 at step 17017 using 0:02:59.601801.
Perplexity:	9.364588 at step 18018 using 0:02:56.333567.
Perplexity:	48.571712 at step 19019 using 0:02:57.072223.
Perplexity:	23.691860 at step 20020 using 0:02:54.437649.
Perplexity:	66.342041 at step 21021 using 0:03:01.346417.
Perplexity:	24.178848 at step 22022 using 0:03:03.619766.
Perplexity:	6.914716 at step 23023 using 0:02:56.065405.
Perplexity:	11.915743 at step 24024 using 0:03:01.420380.
Perplexity:	147.689621 at step 25025 using 0:02:56.460357.
Perplexity:	33.444672 at step 26026 using 0:02:56.994235.
Perplexity:	28.455486 at step 27027 using 0:03:00.712288.
Perplexity:	14.709938 at step 28028 using 0:02:55.973624.
Perplexity:	17.086054 at step 29029 using 0:02:56.165655.
Perplexity:	10.354856 at step 30030 using 0:02:55.626293.
Perplexity:	13.163498 at step 31031 using 0:03:08.378066.
Perplexity:	19.707775 at step 32032 using 0:02:55.011334.
Perplexity:	53.941441 at step 33033 using 0:02:56.433966.
Perplexity:	29.268667 at step 34034 using 0:03:01.375322.
Perplexity:	5.973830 at step 35035 using 0:02:55.967198.
Perplexity:	6.513234 at step 36036 using 0:02:56.147986.
Perplexity:	25.068886 at step 37037 using 0:03:00.302360.
Perplexity:	7.165260 at step 38038 using 0:02:56.477625.
Perplexity:	4.925270 at step 39039 using 0:03:02.125059.
Perplexity:	15.967166 at step 40040 using 0:02:57.107561.
