Perplexity:	28.838837 at step 68068 using 0:02:41.533038.
Perplexity:	2.429699 at step 69069 using 0:02:37.096689.
Perplexity:	4.982870 at step 70070 using 0:02:36.891622.
Perplexity:	5.686728 at step 71071 using 0:02:36.935734.
Perplexity:	3.351973 at step 72072 using 0:02:40.550500.
Perplexity:	24.743153 at step 73073 using 0:02:36.813674.
Perplexity:	5.382039 at step 74074 using 0:02:37.603702.
Perplexity:	634.044678 at step 75075 using 0:02:36.873243.
Perplexity:	6.800975 at step 76076 using 0:02:40.712314.
Perplexity:	3.914546 at step 77077 using 0:02:36.517555.
Perplexity:	302.197571 at step 78078 using 0:02:37.160697.
Perplexity:	6.818404 at step 79079 using 0:02:36.957743.
Perplexity:	4.363197 at step 80080 using 0:02:44.193333.
Perplexity:	21.473434 at step 81081 using 0:02:35.229431.
Perplexity:	4.340062 at step 82082 using 0:02:36.141234.
Perplexity:	4.301775 at step 83083 using 0:02:39.982289.
Perplexity:	3.426788 at step 84084 using 0:02:36.055483.
Perplexity:	2.209354 at step 85085 using 0:02:36.490164.
Perplexity:	21.820747 at step 86086 using 0:02:35.392275.
Perplexity:	9.663843 at step 87087 using 0:02:39.363648.
Perplexity:	8.368204 at step 88088 using 0:02:35.433088.
Perplexity:	6.688353 at step 89089 using 0:02:35.992231.
Perplexity:	21.859211 at step 90090 using 0:02:36.344539.
Perplexity:	1.148521 at step 91091 using 0:02:40.325283.
Perplexity:	3.318898 at step 92092 using 0:02:36.248235.
Perplexity:	4.892525 at step 93093 using 0:02:35.901811.
Perplexity:	1.375358 at step 94094 using 0:02:35.954114.
Perplexity:	30.595745 at step 95095 using 0:02:40.419471.
Perplexity:	183.121918 at step 96096 using 0:02:36.045698.
Perplexity:	3.765262 at step 97097 using 0:02:35.684710.
Perplexity:	3.467236 at step 98098 using 0:02:36.547141.
Perplexity:	11.774773 at step 99099 using 0:02:40.037039.
Perplexity:	13.333243 at step 100100 using 0:02:36.217998.
Perplexity:	10.929572 at step 101101 using 0:02:35.996311.
Perplexity:	14.085019 at step 102102 using 0:02:37.479604.
Perplexity:	5.030434 at step 103103 using 0:02:40.423947.
Perplexity:	34.358479 at step 104104 using 0:02:34.977797.
Perplexity:	7.976907 at step 105105 using 0:02:35.531060.
Perplexity:	1.156267 at step 106106 using 0:02:42.330582.
Perplexity:	10.520895 at step 107107 using 0:02:35.813213.
Perplexity:	35.951530 at step 108108 using 0:02:35.139182.
Perplexity:	1.002168 at step 109109 using 0:02:36.440933.
Perplexity:	5.588946 at step 110110 using 0:02:40.272514.
Perplexity:	327.808777 at step 111111 using 0:02:36.404813.
Perplexity:	4.323672 at step 112112 using 0:02:36.526442.
Perplexity:	3.655021 at step 113113 using 0:02:36.546211.
Perplexity:	9.571256 at step 114114 using 0:02:40.166354.
Perplexity:	18.895983 at step 115115 using 0:02:36.470777.
Perplexity:	4.830992 at step 116116 using 0:02:36.185365.
Perplexity:	3.651771 at step 117117 using 0:02:35.964180.
Perplexity:	40.806431 at step 118118 using 0:02:39.996540.
Perplexity:	5.567539 at step 119119 using 0:02:36.147034.
Perplexity:	265.659851 at step 120120 using 0:02:36.379775.
Perplexity:	10.425846 at step 121121 using 0:02:36.649379.
Perplexity:	1.814763 at step 122122 using 0:02:38.800720.
Perplexity:	8.321199 at step 123123 using 0:02:35.186415.
Perplexity:	10.746182 at step 124124 using 0:02:36.435572.
Perplexity:	73.208885 at step 125125 using 0:02:40.048291.
